0,0 0,00 1,00 0,00 1,00
2120,0 -1,91 -1,92 -1,94 -1,96
2130,0 -1,91 -1,92 -1,94 -1,94
2140,0 -1,91 -1,92 -1,94 -1,94
2150,0 -1,91 -1,92 -1,94 -1,94
2160,0 -1,91 -1,92 -1,94 -1,94
2170,0 -1,91 -1,92 -1,94 -1,94
2180,0 -1,91 -1,92 -1,94 -1,95
2190,0 -1,89 -1,92 -1,94 -1,96
2200,0 -1,89 -1,92 -1,94 -1,96
2210,0 -1,90 -1,92 -1,94 -1,96
2220,0 -1,92 -1,92 -1,94 -1,96
2230,0 -1,92 -1,92 -1,94 -1,94
2240,0 -1,92 -1,92 -1,94 -1,94
2250,0 -1,92 -1,92 -1,94 -1,94
2260,0 -1,92 -1,92 -1,94 -1,94
2270,0 -1,91 -1,92 -1,94 -1,94
2280,0 -1,91 -1,92 -1,94 -1,95
2290,0 -1,91 -1,92 -1,94 -1,96
2300,0 -1,91 -1,92 -1,94 -1,96
2310,0 -1,91 -1,92 -1,94 -1,96
2320,0 -1,91 -1,92 -1,94 -1,96
2330,0 -1,91 -1,92 -1,94 -1,95
2340,0 -1,91 -1,92 -1,94 -1,94
2350,0 -1,91 -1,92 -1,94 -1,94
2360,0 -1,91 -1,92 -1,94 -1,94
2370,0 -1,91 -1,92 -1,94 -1,94
2380,0 -1,91 -1,92 -1,94 -1,95
2390,0 -1,91 -1,92 -1,94 -1,96
2400,0 -1,91 -1,92 -1,94 -1,96
2410,0 -1,90 -1,92 -1,94 -1,96
2420,0 -1,89 -1,92 -1,94 -1,96
2430,0 -1,90 -1,92 -1,94 -1,95
2440,0 -1,92 -1,92 -1,94 -1,94
2450,0 -1,92 -1,92 -1,94 -1,94
2460,0 -1,92 -1,92 -1,94 -1,94
2470,0 -1,92 -1,92 -1,94 -1,94
2480,0 -1,92 -1,92 -1,94 -1,95
2490,0 -1,91 -1,92 -1,94 -1,96
2500,0 -1,91 -1,92 -1,94 -1,96
2510,0 -1,91 -1,92 -1,94 -1,96
2520,0 -1,91 -1,92 -1,94 -1,96
2530,0 -1,91 -1,92 -1,94 -1,96
2540,0 -1,91 -1,92 -1,94 -1,94
2550,0 -1,91 -1,92 -1,94 -1,94
2560,0 -1,91 -1,92 -1,94 -1,94
2570,0 -1,91 -1,92 -1,94 -1,94
2580,0 -1,91 -1,92 -1,94 -1,94
2590,0 -1,91 -1,92 -1,94 -1,96
2600,0 -1,89 -1,92 -1,94 -1,96
2610,0 -1,89 -1,92 -1,94 -1,96
2620,0 -1,90 -1,92 -1,94 -1,96
2630,0 -1,92 -1,92 -1,94 -1,96
2640,0 -1,92 -1,92 -1,94 -1,94
2650,0 -1,92 -1,92 -1,94 -1,94
2660,0 -1,92 -1,92 -1,94 -1,94
2670,0 -1,91 -1,92 -1,94 -1,94
2680,0 -1,91 -1,92 -1,94 -1,94
2690,0 -1,91 -1,92 -1,94 -1,95
2700,0 -1,91 -1,92 -1,94 -1,96
2710,0 -1,91 -1,92 -1,94 -1,96
2720,0 -1,91 -1,92 -1,94 -1,96
2730,0 -1,91 -1,92 -1,94 -1,96
2740,0 -1,91 -1,92 -1,94 -1,94
2750,0 -1,91 -1,92 -1,94 -1,94
2760,0 -1,91 -1,92 -1,94 -1,94
2770,0 -1,91 -1,92 -1,94 -1,94
2780,0 -1,91 -1,92 -1,94 -1,94
2790,0 -1,91 -1,92 -1,94 -1,95
2800,0 -1,91 -1,92 -1,94 -1,96
2810,0 -1,91 -1,92 -1,94 -1,96
2820,0 -1,89 -1,92 -1,94 -1,96
2830,0 -1,89 -1,92 -1,94 -1,96
2840,0 -1,90 -1,92 -1,94 -1,95
2850,0 -1,92 -1,92 -1,94 -1,94
2860,0 -1,92 -1,92 -1,94 -1,94
2870,0 -1,92 -1,92 -1,94 -1,94
2880,0 -1,92 -1,92 -1,94 -1,94
2890,0 -1,92 -1,92 -1,94 -1,95
2900,0 -1,91 -1,92 -1,94 -1,96
2910,0 -1,91 -1,92 -1,94 -1,96
2920,0 -1,91 -1,92 -1,94 -1,96
2930,0 -1,91 -1,92 -1,94 -1,96
2940,0 -1,91 -1,92 -1,94 -1,95
2950,0 -1,91 -1,92 -1,94 -1,94
2960,0 -1,91 -1,92 -1,94 -1,94
2970,0 -1,91 -1,92 -1,94 -1,94
2980,0 -1,91 -1,92 -1,94 -1,94
2990,0 -1,91 -1,92 -1,94 -1,94
3000,0 -1,91 -1,92 -1,94 -1,96
3010,0 -1,89 -1,92 -1,94 -1,96
3020,0 -1,89 -1,92 -1,94 -1,96
3030,0 -1,91 -1,92 -1,94 -1,96
3040,0 -1,92 -1,92 -1,94 -1,96
3050,0 -1,92 -1,92 -1,94 -1,94
3060,0 -1,92 -1,92 -1,94 -1,94
3070,0 -1,92 -1,92 -1,94 -1,94
3080,0 -1,91 -1,92 -1,94 -1,94
3090,0 -1,91 -1,92 -1,94 -1,94
3100,0 -1,91 -1,92 -1,94 -1,96
3110,0 -1,91 -1,92 -1,94 -1,96
3120,0 -1,91 -1,92 -1,94 -1,96
3130,0 -1,91 -1,92 -1,94 -1,96
3140,0 -1,91 -1,92 -1,94 -1,96
3150,0 -1,91 -1,92 -1,94 -1,94
3160,0 -1,91 -1,92 -1,94 -1,94
