230,00    -0,98983723    1,01944814    1,03454289    1,04431331    1,05135221    1,05943552    1,05939540    1,05528315    1,05508862    1,06059291    1,05968097    1,05534044    1,05509847    1,06059451    1,05968120    1,05534047    1,05509847    1,06059451    1,05968120    1,05534047    1,05509847    1,06059452    1,05968129    1,05534110    1,05510221    1,06061414    1,05976294    1,05563449    1,05602705    1,06308077    1,89116915    1,89446638    1,97983799    1,98774054    1,44185174    1,44185174
240,00    -0,97897413    0,99642554    0,98956200    0,99170179    0,99627587    0,99831985    0,99923481    0,99779517    0,99874325    0,99923638    0,99949089    0,99785320    0,99875449    0,99923843    0,99949123    0,99785324    0,99875449    0,99923843    0,99949123    0,99785324    0,99875450    0,99923845    0,99949136    0,99785404    0,99875870    0,99925864    0,99956980    0,99812421    0,99958061    1,00132594    1,89214366    1,89632062    1,97720193    1,98340817    1,11057820    1,11057820
250,00    -0,99877073    0,98038556    0,96332439    0,95574196    0,95329083    0,94348607    0,94537902    0,94901542    0,95129374    0,94308232    0,94529915    0,94899820    0,95129099    0,94308224    0,94529920    0,94899821    0,95129099    0,94308224    0,94529920    0,94899821    0,95129099    0,94308224    0,94529921    0,94899815    0,95129049    0,94308096    0,94528910    0,94894525    0,95115432    0,94291355    1,89305409    1,89792190    1,97462958    1,96248125    -2,00375278    -2,00375278
260,00    -1,01047676    0,99696110    1,00214218    0,99885280    0,99191878    0,97667310    0,97756920    0,98384439    0,98535556    0,97392716    0,97675610    0,98365398    0,98531611    0,97391882    0,97675468    0,98365377    0,98531608    0,97391881    0,97675468    0,98365377    0,98531607    0,97391872    0,97675416    0,98365107    0,98530299    0,97385698    0,97653639    0,98299662    0,98353041    0,96950445    1,89443662    1,89954520    1,97234811    1,96251670    -1,85561482    -1,85561482
270,00    -0,99308780    1,02092073    1,03802536    1,04731778    1,05277181    1,05864396    1,05877990    1,05617927    1,05582917    1,05958032    1,05899538    1,05622084    1,05583628    1,05958140    1,05899543    1,05622082    1,05583628    1,05958140    1,05899543    1,05622082    1,05583627    1,05958140    1,05899546    1,05622107    1,05583766    1,05958993    1,05903202    1,05633710    1,05612880    1,06042680    1,89617852    1,90105072    1,97021500    1,96271811    -1,68139871    -1,68139871
280,00    -0,97874074    1,01099663    1,01325404    1,01880943    1,02546650    1,03096709    1,03210000    1,02987287    1,03035695    1,03296040    1,03274437    1,03004336    1,03039541    1,03296860    1,03274593    1,03004362    1,03039544    1,03296860    1,03274593    1,03004362    1,03039546    1,03296870    1,03274647    1,03004628    1,03040764    1,03301852    1,03291097    1,03052389    1,03162917    1,03567576    1,89703761    1,90243959    1,96821427    1,96319444    -1,45799649    -1,45799649
290,00    -0,99478619    0,98717796    0,97685558    0,97457349    0,97622130    0,97309388    0,97480843    0,97588969    0,97747738    0,97394887    0,97513744    0,97598437    0,97750085    0,97395480    0,97513871    0,97598461    0,97750089    0,97395481    0,97513871    0,97598461    0,97750091    0,97395490    0,97513915    0,97598658    0,97750924    0,97398871    0,97524320    0,97626681    0,97819416    0,97543622    1,89758341    1,90372843    1,96634505    1,96459321    -1,06627622    -1,06627622
300,00    -1,01218713    0,98323706    0,97793897    0,97151781    0,96527545    0,95045945    0,95158436    0,95680023    0,95894162    0,94800052    0,95080157    0,95658237    0,95888961    0,94798926    0,95079949    0,95658202    0,95888956    0,94798926    0,95079949    0,95658202    0,95888955    0,94798914    0,95079882    0,95657877    0,95887594    0,94793808    0,95063470    0,95611420    0,95777812    0,94566920    1,89827545    1,90502875    1,96469499    1,98195071    1,99947970    1,99947970
310,00    -0,99819212    1,01074826    1,02232196    1,02642587    1,02590702    1,02210744    1,02175130    1,02269539    1,02289133    1,02005601    1,02088766    1,02243200    1,02282182    1,02003672    1,02088319    1,02243113    1,02282167    1,02003669    1,02088319    1,02243112    1,02282161    1,02003637    1,02088179    1,02242550    1,02279904    1,01994968    1,02063913    1,02183733    1,02144725    1,01718223    1,89957361    1,90610301    1,96303208    1,97908770    1,86610314    1,86610314
320,00    -0,97722676    1,02040369    1,02728717    1,03402675    1,04081615    1,04748157    1,04868381    1,04640178    1,04657500    1,05002023    1,04957600    1,04666162    1,04664096    1,05003653    1,04957943    1,04666223    1,04664106    1,05003655    1,04957943    1,04666224    1,04664109    1,05003675    1,04958043    1,04666649    1,04665805    1,05009973    1,04976393    1,04713094    1,04771732    1,05235929    1,90057849    1,90709681    1,96147605    1,97629147    1,71386275    1,71386275
